time,plate,type
2026-03-18 14:32:51,6ภอกรุงเทพมหานคร2871,ไม่พบจังหวัด,ไม่ระบุ
2026-03-18 14:32:54,6กอกรุงเทพมหานคร2871,ไม่พบจังหวัด,ไม่ระบุ
2026-03-18 14:33:16,,ไม่พบจังหวัด,ไม่ระบุ
2026-03-18 14:33:20,8788,ไม่พบจังหวัด,ไม่ระบุ
2026-03-18 14:33:22,tnฉ8788,ไม่พบจังหวัด,ไม่ระบุ
2026-03-18 14:33:25,8788,ไม่พบจังหวัด,ไม่ระบุ
2026-03-18 14:33:28,1กฉ 8788,กาญจนบุรี,รถยนต์
2026-03-18 14:33:34,8788,ไม่พบจังหวัด,ไม่ระบุ
2026-03-18 14:33:37,เสบ8788,ไม่พบจังหวัด,ไม่ระบุ
2026-03-18 14:33:40,,ไม่พบจังหวัด,ไม่ระบุ
2026-03-18 14:33:42,ชลบรี,ไม่พบจังหวัด,ไม่ระบุ
2026-03-18 14:33:45,กทพง,ไม่พบจังหวัด,ไม่ระบุ
2026-03-18 14:33:47,ชลบรี,ไม่พบจังหวัด,ไม่ระบุ
2026-03-18 14:33:50,ทพงชลบรี,ไม่พบจังหวัด,ไม่ระบุ
2026-03-18 14:34:22,กว8788,ไม่พบจังหวัด,ไม่ระบุ
2026-03-18 14:34:25,1กฉ 8788,กาญจนบุรี,รถยนต์
2026-03-18 14:34:27,เสน8788,ไม่พบจังหวัด,ไม่ระบุ
2026-03-18 14:34:57,37,ไม่พบจังหวัด,ไม่ระบุ
2026-03-18 14:35:00,กรุงเทหมหานคร2871,ไม่พบจังหวัด,ไม่ระบุ
2026-03-18 14:35:03,6ภอกรุงเทพมหานคร2871,ไม่พบจังหวัด,ไม่ระบุ
2026-03-18 14:35:05,6กอกรุงเทพมหานคร2871,ไม่พบจังหวัด,ไม่ระบุ
2026-03-18 14:35:12,6กอกรุงเทหมหานคร2871,ไม่พบจังหวัด,ไม่ระบุ
2026-03-18 14:35:14,6ภอกรุงเทพมหานคร2871,ไม่พบจังหวัด,ไม่ระบุ
2026-03-18 14:35:17,6กอกรุงเทพมหานคร2871,ไม่พบจังหวัด,ไม่ระบุ
2026-03-18 14:35:21,6กอกรุงเทพมหานคร|2871,ไม่พบจังหวัด,ไม่ระบุ
2026-03-18 14:35:24,6กอกรุงเทพมหานคร2871,ไม่พบจังหวัด,ไม่ระบุ
2026-03-18 15:20:28,กท 2058,2058,มอไซต์
2026-03-18 15:20:31,2058,กท,รถยนต์
2026-03-18 15:20:38,กท,2058,รถยนต์
2026-03-18 15:20:40,กท 2058,2058,มอไซต์
2026-03-18 15:20:43,กท,2058,รถยนต์
2026-03-18 15:20:58,กท 2058,2058,มอไซต์
2026-03-18 15:21:01,กท,2058,รถยนต์
2026-03-18 15:21:06,2058 กท,กท,มอไซต์
2026-03-18 15:22:02,2999 1ขจ,1ขจ,มอไซต์
2026-03-18 15:22:06,1ขจ 2999,2999,มอไซต์
2026-03-18 15:42:36, ,ไม่พบจังหวัด,มอไซต์
2026-03-18 15:42:54,จ ,ไม่พบจังหวัด,มอไซต์
2026-03-18 15:42:59, ,ไม่พบจังหวัด,มอไซต์
2026-03-18 15:43:13,อดด ,ไม่พบจังหวัด,มอไซต์
2026-03-18 15:43:51, ,ไม่พบจังหวัด,มอไซต์
2026-03-18 15:44:06,ขจว ,กรุงเทพมหานคร,มอไซต์
2026-03-18 15:44:11,ขลวด ,กรุงเทพมหานคร,มอไซต์
2026-03-18 15:44:18, ,กรุงเทพมหานคร,มอไซต์
2026-03-18 15:54:21,—,—,Motorcycle,captures/—_1773824061.png
2026-03-18 15:54:47,กรุงเทพมหาบคร 1ขจ 2999,—,Motorcycle,captures/กรุงเทพมหาบคร_1ขจ_2999_1773824087.png
2026-03-18 15:54:49,1ข 2999,กรุงเทพมหานคร,Motorcycle,captures/1ข_2999_1773824089.png
2026-03-18 15:54:52,|ขา 2999,กรุงเทพมหานคร,Motorcycle,captures/|ขา_2999_1773824092.png
2026-03-18 15:54:54,—,—,Motorcycle,captures/—_1773824094.png
2026-03-18 15:55:02,1ขจ 2999,กรุงเทพมหานคร,Motorcycle,captures/1ขจ_2999_1773824102.png
2026-03-18 15:55:13,—,—,Motorcycle,captures/—_1773824113.png
2026-03-18 15:55:15,1ขจ 2999,กรุงเทพมหานคร,Motorcycle,captures/1ขจ_2999_1773824115.png
2026-03-18 15:55:20,1ข 2999,—,Motorcycle,captures/1ข_2999_1773824120.png
2026-03-18 15:55:22,1ชง 2999,—,Motorcycle,captures/1ชง_2999_1773824122.png
2026-03-18 15:55:24,—,—,Motorcycle,captures/—_1773824124.png
2026-03-18 15:55:26,1ข 999,—,Motorcycle,captures/1ข_999_1773824126.png
2026-03-18 15:55:28,1`2999,—,Motorcycle,captures/1`2999_1773824128.png
2026-03-18 15:55:30,1ข 2999,—,Motorcycle,captures/1ข_2999_1773824130.png
2026-03-18 15:55:32,เขง 2999,—,Motorcycle,captures/เขง_2999_1773824132.png
2026-03-18 15:55:35,1ขง 2999,กรุงเทพมหานคร,Motorcycle,captures/1ขง_2999_1773824135.png
2026-03-18 15:55:37,1ขา 2999,"! |`,",Motorcycle,captures/1ขา_2999_1773824137.png
2026-03-18 15:55:42,—,—,Motorcycle,captures/—_1773824142.png
2026-03-18 15:56:31,1ข 2499,—,Motorcycle,captures/1ข_2499_1773824191.png
2026-03-18 15:56:33,เขา,—,Motorcycle,captures/เขา_1773824193.png
2026-03-18 15:56:35,—,—,Motorcycle,captures/—_1773824195.png
2026-03-18 15:56:38,2999,—,Motorcycle,captures/2999_1773824198.png
2026-03-18 15:56:42,—,—,Motorcycle,captures/—_1773824202.png
2026-03-18 15:56:44,1ข+ 2999,—,Motorcycle,captures/1ข+_2999_1773824204.png
2026-03-18 15:56:49,1ข 2999,—,Motorcycle,captures/1ข_2999_1773824209.png
2026-03-18 15:56:51,1ชจ 2999,กรุงเทพมหานคร,Motorcycle,captures/1ชจ_2999_1773824211.png
2026-03-18 15:56:57,—,—,Motorcycle,captures/—_1773824217.png
2026-03-18 16:03:03,—,—,Motorcycle,captures/—_1773824583.png
2026-03-18 16:03:06,1ขง2999,กรุงเทพมหานคร,Motorcycle,captures/1ขง2999_1773824586.png
2026-03-18 16:03:10,กรงทพมหวบคร 1ชจ2999,—,Motorcycle,captures/กรงทพมหวบคร_1ชจ2999_1773824590.png
2026-03-18 16:03:13,1ขจ2999,กรุงเทพมหานคร,Motorcycle,captures/1ขจ2999_1773824593.png
2026-03-18 16:03:23,ซง 2,—,Motorcycle,captures/ซง_2_1773824603.png
2026-03-18 16:03:27,—,—,Motorcycle,captures/—_1773824607.png
2026-03-18 16:03:30,ท 2058,ฉะเชิงเทรา,Motorcycle,captures/ท_2058_1773824610.png
2026-03-18 16:03:32,กท2058,ฉะเชิงเทรา,Motorcycle,captures/กท2058_1773824612.png
2026-03-18 16:03:39,—,—,Motorcycle,captures/—_1773824619.png
2026-03-18 16:03:45,6กอ,871,Motorcycle,captures/6กอ_1773824625.png
2026-03-18 16:04:15,6ภอ,871,Motorcycle,captures/6ภอ_1773824655.png
2026-03-18 16:04:17,—,—,Motorcycle,captures/—_1773824657.png
2026-03-18 16:04:20,ท,—,Motorcycle,captures/ท_1773824660.png
2026-03-18 16:04:23,ทม,นนทบุรี,Motorcycle,captures/ทม_1773824663.png
2026-03-18 16:04:32,—,—,Car,captures/—_1773824672.png
2026-03-18 16:04:38,ท,—,Motorcycle,captures/ท_1773824678.png
2026-03-18 16:04:40,พ,—,Motorcycle,captures/พ_1773824680.png
2026-03-18 16:04:43,ทพ,—,Motorcycle,captures/ทพ_1773824683.png
2026-03-18 16:04:46,—,—,Motorcycle,captures/—_1773824686.png
2026-03-18 16:04:48,ทพ,—,Motorcycle,captures/ทพ_1773824688.png
2026-03-18 16:04:51,ทมศ,—,Motorcycle,captures/ทมศ_1773824691.png
2026-03-18 16:04:53,ทมห,—,Motorcycle,captures/ทมห_1773824693.png
2026-03-18 16:04:55,ท,—,Motorcycle,captures/ท_1773824695.png
2026-03-18 16:04:58,ทลร,ซร,Motorcycle,captures/ทลร_1773824698.png
2026-03-18 16:05:02,—,—,Motorcycle,captures/—_1773824702.png
2026-03-18 16:05:04,ทมร,—,Motorcycle,captures/ทมร_1773824704.png
2026-03-18 16:05:07,—,—,Motorcycle,captures/—_1773824707.png
2026-03-18 16:05:11,ทพห,—,Motorcycle,captures/ทพห_1773824711.png
2026-03-18 16:05:15,—,—,Motorcycle,captures/—_1773824715.png
2026-03-18 16:05:17,ทม,—,Motorcycle,captures/ทม_1773824717.png
2026-03-18 16:05:21,ท,—,Motorcycle,captures/ท_1773824721.png
2026-03-18 16:05:24,ทม,สกลนคร,Motorcycle,captures/ทม_1773824724.png
2026-03-18 16:05:27,—,—,Motorcycle,captures/—_1773824727.png
2026-03-18 16:16:17,—,—,Motorcycle,captures/—_1773825377.png
2026-03-18 16:16:22,คร,—,Motorcycle,captures/คร_1773825382.png
2026-03-18 16:16:25,/^^ inf,—,Motorcycle,captures//^^_inf_1773825385.png
2026-03-18 16:16:28,i.t,—,Motorcycle,captures/i.t_1773825388.png
2026-03-18 16:16:38,—,—,Motorcycle,captures/—_1773825398.png
2026-03-18 16:16:41,6กอ 2871,กรุงเทพมหานคร,Motorcycle,captures/6กอ_2871_1773825401.png
2026-03-18 16:16:49,1ขจ2999,กรุงเทพมหานคร,Motorcycle,captures/1ขจ2999_1773825409.png
2026-03-18 16:17:16,กท2058,ฉะเชิงเทรา,Car,captures/กท2058_1773825436.png
2026-03-18 16:17:21,กท20ฮ9,—,Car,captures/กท20ฮ9_1773825441.png
2026-03-18 16:36:14,—,—,Motorcycle,captures/—_1773826574.png
2026-03-18 16:36:27,1ขจ2999,กรุงเทพมหานคร,Motorcycle,captures/1ขจ2999_1773826587.png
2026-03-18 16:36:30,กรงทพมทวนคร 1ขจ2999,—,Motorcycle,captures/กรงทพมทวนคร_1ขจ2999_1773826590.png
2026-03-18 16:36:44,1ชง25,—,Motorcycle,captures/1ชง25_1773826604.png
2026-03-18 16:36:47,กรงทพมทวนทร 1ขจ2999,—,Motorcycle,captures/กรงทพมทวนทร_1ขจ2999_1773826607.png
2026-03-18 16:36:50,กรงทพมหวนคร 1ขจ2999,—,Motorcycle,captures/กรงทพมหวนคร_1ขจ2999_1773826610.png
2026-03-18 16:36:54,กรงทพมทวบคร 1ขจ2999,—,Motorcycle,captures/กรงทพมทวบคร_1ขจ2999_1773826614.png
2026-03-18 16:41:45,—,—,Car,captures/—_1773826905.png
2026-03-18 16:43:31,—,—,Motorcycle,captures/—_1773827011.png
2026-03-18 16:50:11,—,—,Motorcycle,captures/—_1773827411.png
2026-03-18 16:50:26,ตแพพมทานา'.2884,—,Motorcycle,captures/ตแพพมทานา'.2884_1773827426.png
2026-03-18 16:50:32,ภ,ม,Motorcycle,captures/ภ_1773827432.png
2026-03-18 16:50:37,กรงทพมหวนคร 1 ข 12999,—,Motorcycle,captures/กรงทพมหวนคร_1_ข_12999_1773827437.png
2026-03-18 16:50:42,พ 12399 กรงทพมหทนศร,—,Motorcycle,captures/พ_12399_กรงทพมหทนศร_1773827442.png
2026-03-18 16:50:46,1129,กรุงเทพมหานคร,Motorcycle,captures/1129_1773827446.png
2026-03-18 16:50:51,1 ขจกรงทพมทวนคร 2999,—,Motorcycle,captures/1_ขจกรงทพมทวนคร_2999_1773827451.png
2026-03-19 14:55:20,—,—,Motorcycle,captures/—_1773906920.png
2026-03-19 16:01:07,ทงททนทนท,3871,Motorcycle,captures/ทงททนทนท_1773910867.png
2026-03-19 16:01:15,2871,—,Motorcycle,captures/2871_1773910875.png
2026-03-19 16:01:57,อ 71,ระยอง,Motorcycle,captures/อ_71_1773910917.png
2026-03-19 16:02:07,6 กอ 2871,กรุงเทพมหานคร,Motorcycle,captures/6_กอ_2871_1773910927.png
2026-03-19 16:06:32,—,—,Motorcycle,captures/—_1773911192.png
2026-03-19 16:09:33,จ,—,Motorcycle,captures/จ_1773911373.png
2026-03-19 16:09:57,ม,—,Car,captures/ม_1773911397.png
2026-03-19 16:10:15,—,—,Car,captures/—_1773911415.png
2026-03-19 16:32:21,71,ระยอง,Motorcycle,captures/71_1773912741.png
2026-03-19 16:32:24,6 กอ 2021,กรุงเทพมหานคร,Motorcycle,captures/6_กอ_2021_1773912744.png
2026-03-19 16:32:28,6 กอ 2871,กรุงเทพมหานคร,Motorcycle,captures/6_กอ_2871_1773912748.png
2026-03-19 16:32:41,—,—,Motorcycle,captures/—_1773912761.png
2026-03-19 16:32:45,พศ,กระบี่,Motorcycle,captures/พศ_1773912765.png
2026-03-19 16:32:48,iiif,แพร่,Motorcycle,captures/iiif_1773912768.png
2026-03-19 16:32:52,—,—,Motorcycle,captures/—_1773912772.png
2026-03-19 16:32:57,ww,—,Motorcycle,captures/ww_1773912777.png
2026-03-19 16:33:01,ทพ,—,Motorcycle,captures/ทพ_1773912781.png
2026-03-19 16:33:12,พ,—,Motorcycle,captures/พ_1773912792.png
2026-03-19 16:33:16,—,—,Motorcycle,captures/—_1773912796.png
2026-03-19 16:33:21,ทพร,—,Motorcycle,captures/ทพร_1773912801.png
2026-03-19 16:33:26,ทพต,—,Motorcycle,captures/ทพต_1773912806.png
2026-03-19 16:33:34,ทห,สกลนคร,Motorcycle,captures/ทห_1773912814.png
2026-03-19 16:33:52,—,—,Motorcycle,captures/—_1773912832.png
2026-03-19 16:34:03,ท,—,Motorcycle,captures/ท_1773912843.png
2026-03-19 16:34:14,—,—,Motorcycle,captures/—_1773912854.png
2026-03-19 16:34:24,ส,—,Motorcycle,captures/ส_1773912864.png
2026-03-19 16:34:28,.ํ,—,Motorcycle,captures/.ํ_1773912868.png
2026-03-19 16:34:33,wห,ศรีสะเกษ,Motorcycle,captures/wห_1773912873.png
2026-03-19 16:34:37,—,—,Motorcycle,captures/—_1773912877.png
2026-03-19 16:34:41,ทสต,—,Motorcycle,captures/ทสต_1773912881.png
2026-03-19 16:34:45,"กคไ""",—,Motorcycle,"captures/กคไ""_1773912885.png"
2026-03-19 16:34:48,m.f,—,Motorcycle,captures/m.f_1773912888.png
2026-03-19 16:34:52,—,—,Motorcycle,captures/—_1773912892.png
2026-03-19 16:34:56,ม,—,Motorcycle,captures/ม_1773912896.png
2026-03-19 16:35:00,ทพฬ,—,Motorcycle,captures/ทพฬ_1773912900.png
2026-03-19 16:35:03,ทมทฬ,—,Motorcycle,captures/ทมทฬ_1773912903.png
2026-03-19 16:35:07,ทม,—,Motorcycle,captures/ทม_1773912907.png
2026-03-19 16:35:11,ต,—,Motorcycle,captures/ต_1773912911.png
2026-03-19 16:35:15,—,—,Motorcycle,captures/—_1773912915.png
2026-03-19 16:35:18,พตต,—,Motorcycle,captures/พตต_1773912918.png
2026-03-19 16:35:22,ทร,—,Motorcycle,captures/ทร_1773912922.png
2026-03-19 16:35:26,mil,—,Motorcycle,captures/mil_1773912926.png
2026-03-19 16:35:29,ทม,—,Motorcycle,captures/ทม_1773912929.png
2026-03-19 16:35:33,—,—,Motorcycle,captures/—_1773912933.png
2026-03-19 16:35:37,สก,แพร่,Motorcycle,captures/สก_1773912937.png
2026-03-19 16:35:41,ตมต,—,Motorcycle,captures/ตมต_1773912941.png
2026-03-19 16:35:44,miif,—,Motorcycle,captures/miif_1773912944.png
2026-03-19 16:35:48,พ,—,Motorcycle,captures/พ_1773912948.png
2026-03-19 16:35:51,milf,สกลนคร,Motorcycle,captures/milf_1773912951.png
2026-03-19 16:35:55,รฏ,—,Motorcycle,captures/รฏ_1773912955.png
2026-03-19 16:35:59,—,—,Motorcycle,captures/—_1773912959.png
2026-03-19 16:36:03,พต,—,Motorcycle,captures/พต_1773912963.png
2026-03-19 16:36:06,—,—,Motorcycle,captures/—_1773912966.png
2026-03-19 16:36:10,ภร,—,Motorcycle,captures/ภร_1773912970.png
2026-03-19 16:36:14,milf,กระบี่,Motorcycle,captures/milf_1773912974.png
2026-03-19 16:36:18,ฬง,ศรีสะเกษ,Motorcycle,captures/ฬง_1773912978.png
2026-03-19 16:36:21,กร,—,Motorcycle,captures/กร_1773912981.png
2026-03-19 16:36:25,mห,—,Motorcycle,captures/mห_1773912985.png
2026-03-19 16:36:29,ทหรํ่,—,Motorcycle,captures/ทหรํ่_1773912989.png
2026-03-19 16:36:32,mmf,ซรห,Motorcycle,captures/mmf_1773912992.png
2026-03-19 16:36:36,mf,—,Motorcycle,captures/mf_1773912996.png
2026-03-19 16:36:41,—,—,Motorcycle,captures/—_1773913001.png
2026-03-19 16:36:44,ทม,—,Motorcycle,captures/ทม_1773913004.png
2026-03-19 16:36:48,m.f,—,Motorcycle,captures/m.f_1773913008.png
2026-03-19 16:36:52,—,—,Motorcycle,captures/—_1773913012.png
2026-03-19 16:36:55,ศ,—,Motorcycle,captures/ศ_1773913015.png
2026-03-19 16:36:59,6 กอ 371,กรุงเทพมหานคร,Motorcycle,captures/6_กอ_371_1773913019.png
2026-03-19 16:37:03,6 กว 2071,กรุงเทพมหานคร,Motorcycle,captures/6_กว_2071_1773913023.png
2026-03-19 16:37:06,6 กอ 2871,กรุงเทพมหานคร,Motorcycle,captures/6_กอ_2871_1773913026.png
2026-03-19 16:37:17,6 2071,กรุงเทพมหานคร,Motorcycle,captures/6_2071_1773913037.png
2026-03-19 16:37:21,—,—,Motorcycle,captures/—_1773913041.png
2026-03-19 16:57:48,—,—,Motorcycle,captures/—_1773914268.png
2026-03-19 16:57:52,6 อ 2871,สกลนคร,Motorcycle,captures/6_อ_2871_1773914272.png
2026-03-19 16:57:55,6 กอ 2071,กรุงเทพมหานคร,Motorcycle,captures/6_กอ_2071_1773914275.png
2026-03-19 16:58:01,6 กอ _971,สมุทรสาคร,Motorcycle,captures/6_กอ__971_1773914281.png
2026-03-19 16:58:04,ด 71,—,Motorcycle,captures/ด_71_1773914284.png
2026-03-19 16:58:12,วกอ 2071,กรุงเทพมหานคร,Motorcycle,captures/วกอ_2071_1773914292.png
2026-03-19 16:58:16,6 กอ 2071,กรุงเทพมหานคร,Motorcycle,captures/6_กอ_2071_1773914296.png
2026-03-19 16:58:19,6 กอ 2871,กรุงเทพมหานคร,Motorcycle,captures/6_กอ_2871_1773914299.png
2026-03-19 16:58:23,6 กอ 2071,กรุงเทพมหานคร,Motorcycle,captures/6_กอ_2071_1773914303.png
2026-03-19 16:58:29,—,—,Motorcycle,captures/—_1773914309.png
2026-03-19 16:58:33,ทห,สกลนคร,Motorcycle,captures/ทห_1773914313.png
2026-03-19 16:58:36,—,—,Motorcycle,captures/—_1773914316.png
2026-03-19 16:58:39,ทมร,—,Motorcycle,captures/ทมร_1773914319.png
2026-03-19 16:58:43,ทร,—,Motorcycle,captures/ทร_1773914323.png
2026-03-19 16:58:48,6 กอ 2871,กรุงเทพมหานคร,Motorcycle,captures/6_กอ_2871_1773914328.png
